No urut	Diagnosis/Daftar Penyakit SKDI 2012	Tingkat kompetensi
534	Hipoglikemia ringan	4A
535	Hipoglikemia berat	3B
536	Diabetes insipidus	1
537	Akromegali, gigantisme	1
538	Defisiensi hormon pertumbuhan	1
539	Hiperparatiroid	1
540	Hipoparatiroid	3A
541	Hipertiroid	3A
542	Tirotoksikosis	3B
543	Hipotiroid	2
544	Goiter	3A
545	Tiroiditis	2
546	Cushing's disease	3B
547	Krisis adrenal	3B
548	Addison's disease	1
549	Pubertas prekoks	2
550	Hipogonadisme	2
551	Prolaktinemia	1
552	Adenoma tiroid	2
553	Karsinoma tiroid	2
554	Malnutrisi energi-protein	4A
555	Defisiensi vitamin	4A
556	Defisiensi mineral	4A
557	Dislipidemia	4A
558	Porfiria	1
559	Hiperurisemia	4A
560	Obesitas	4A
561	Anemia aplastik	2
562	Anemia defisiensi besi	4A
563	Anemia hemolitik	3A
564	Anemia makrositik	3A
565	Anemia megaloblastik	2
566	Hemoglobinopati	2
567	Polisitemia	2
568	hemofilia, Von Willebrand's disease)	2
569	DIC	2
570	Agranulositosis	2
571	Inkompatibilitas golongan darah	2
572	Timoma	1
573	Limfoma non-Hodgkin's, Hodgkin's	1
574	Leukemia akut, kronik	2
575	Mieloma multipel	1
576	Limfadenopati	3A
577	Limfadenitis	4A
578	Bakteremia	3B
579	Demam dengue, DHF	4A
580	Dengue shock syndrome	3B
581	Malaria	4A
582	Leishmaniasis dan tripanosomiasis	2
583	Toksoplasmosis	3A
584	Leptospirosis (tanpa komplikasi)	4A
585	Sepsis	3B
586	Lupus eritematosus sistemik	3A
587	Poliarteritis nodosa	1
588	Polimialgia reumatik	3A
589	Reaksi anafilaktik	4A
590	Demam reumatik	3A
591	Artritis reumatoid	3A
592	Juvenile chronic arthritis	2
593	Henoch-schoenlein purpura	2
594	Eritema multiformis	2
595	Artritis, osteoarthritis	3A
596	Fraktur terbuka, tertutup	3B
597	Fraktur klavikula	3A
598	Fraktur patologis,	2
599	Fraktur dan dislokasi tulang belakang	2
600	Dislokasi pada sendi ekstremitas	2
601	Osteogenesis imperfekta	1
602	Ricketsia, osteomalasia	1
603	Osteoporosis	3A
604	Akondroplasia	1
605	Displasia fibrosa	1
606	Tenosinovitis supuratif	3A
607	Tumor tulang primer, sekunder	2
608	Osteosarkoma	1
609	Sarcoma Ewing	1
610	Kista ganglion	2
611	Trauma sendi	3A
612	lordosis)	2
613	Spondilitis, spondilodisitis	2
614	Teratoma sakrokoksigeal	2
615	Spondilolistesis	1
616	Spondilolisis	1
617	Lesi pada ligamentosa panggul	1
618	Displasia panggul	2
619	Nekrosis kaput femoris	1
620	Tendinitis Achilles	1
621	Ruptur tendon Achilles	3A
622	Lesi meniskus, medial, dan lateral	3A
623	Instabilitas sendi tumit Malformasi kongenital (genovarum, genovalgum, club	2
624	foot, pes planus)	2
625	Claw foot, drop foot	2
626	Claw hand, drop hand	2
627	Ulkus pada tungkai	4A
628	Osteomielitis	3B
629	Rhabdomiosarkoma	1
630	Leiomioma, leiomiosarkoma, liposarkoma	1
631	Lipoma	4A
632	Veruka vulgaris	4A
633	Kondiloma akuminatum	3A
634	Moluskum kontagiosum	4A
635	Herpes zoster tanpa komplikasi	4A
636	Morbili tanpa komplikasi	4A
637	Varisela tanpa komplikasi	4A
638	Herpes simpleks tanpa komplikasi	4A
639	Impetigo	4A
640	Impetigo ulseratif (ektima)	4A
641	Folikulitis superfisialis	4A
642	Furunkel, karbunkel	4A
643	Eritrasma	4A
644	Erisipelas	4A
645	Skrofuloderma	4A
646	Lepra	4A
647	Reaksi lepra	3A
648	Sifilis stadium 1 dan 2	4A
649	Tinea kapitis	4A
650	Tinea barbe	4A
651	Tinea fasialis	4A
652	Tinea korporis	4A
653	Tinea manus	4A
654	Tinea unguium	4A
655	Tinea kruris	4A
656	Tinea pedis	4A
657	Pitiriasis vesikolor	4A
658	Kandidosis mukokutan ringan Gigitan Serangga dan Infestasi Parasit	4A
659	Cutaneus larva migran	4A
660	Filariasis	4A
661	Pedikulosis kapitis	4A
662	Pedikulosis pubis	4A
663	Skabies	4A
664	Reaksi gigitan serangga Dermatitis Eksim	4A
665	Dermatitis kontak iritan	4A
666	Dermatitis kontak alergika	3A
667	Dermatitis atopik (kecuali recalcitrant)	4A
668	Dermatitis numularis	4A
669	Liken simpleks kronik/neurodermatitis	3A
670	Napkin eczema	4A
671	Psoriasis vulgaris	3A
672	Dermatitis seboroik	4A
673	Pitiriasis rosea	4A
674	Akne vulgaris ringan	4A
675	Akne vulgaris sedang-berat	3A
676	Hidradenitis supuratif	4A
677	Dermatitis perioral	4A
678	Miliaria	4A
679	Toxic epidermal necrolysis	3B
680	Sindrom Stevens-Johnson	3B
681	Urtikaria akut	4A
682	Urtikaria kronis	3A
683	Angioedema	3B
684	Lupus eritematosis kulit	2
685	Ichthyosis vulgaris Reaksi Obat	3A
686	Exanthematous drug eruption, fixed drug eruption	4A
687	Vitiligo	3A
688	Melasma	3A
689	Albino	2
690	Hiperpigmentasi pascainflamasi	3A
691	Hipopigmentasi pascainflamasi Neoplasma	3A
692	Keratosis seboroik	2
693	Kista epitel	3A
694	Squamous cell carcinoma (Karsinoma sel skuamosa)	2
695	Basal cell carcinoma (Karsinoma sel basal)	2
696	Xanthoma	2
697	Hemangioma	2
698	Lentigo	2
699	Nevus pigmentosus	2
700	Melanoma maligna Rambut	1
701	Alopesia areata	2
702	Alopesia androgenik	2
703	Telogen eflluvium	2
704	Psoriasis vulgaris	2
705	Vulnus laseratum, punctum	4A
706	Vulnus perforatum, penetratum	3B
707	Luka bakar derajat 1 dan 2	4A
708	Luka bakar derajat 3 dan 4	3B
709	Luka akibat bahan kimia	3B
710	Kekerasan tumpul	4A
711	Kekerasan tajam	4A
712	Trauma kimia	3A
713	Luka tembak	3A
714	Luka listrik dan petir	2
715	Barotrauma	2
716	Trauma suhu	2
717	Asfiksia	3A
718	Tenggelam	3A
719	Pembunuhan anak sendiri	3A
720	Pengguguran kandungan	3A
721	Kematian mendadak	3B
